Term,Year,Campus,College,Dept,Sbjct,Crse,Sect,Crse Title,Instructor Name,Instr Grp,Crse Type,Crse Lvl,Enroll,# Resp,Resp Rate,Interact,Reflect,Connect,Collab,Contrib,Eval,Synth,Diverse,Respect,Challenge,Creative,Discuss,Feedback,Grading,Questions,Tech
Fall,2020,B3,EDUC,EDUC,EDUA,5000,100,History and Policy for CLD,"Flores, Rebecca",TA,LEC,Graduate,4,1,25.0%,5.0,5.0,4.0,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,EDUC,EDUC,EDUA,5004,100,The Teacher in SEL,"Stamatis, Kristina Marie",OTH,LEC,Graduate,15,1,6.7%,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Fall,2020,B3,EDUC,EDUC,EDUA,5015,100,Vision Equitable Sci Tchg Lrng,"Wingert, Kerri",OTH,SEM,Graduate,3,2,66.7%,5.0,4.5,4.5,5.0,5.0,5.0,4.5,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,EDUC,EDUC,EDUA,5019,100,Compassion and Dignity for EDU,"Stamatis, Kristina Marie",OTH,LEC,Graduate,3,1,33.3%,5.0,5.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5315,100,Real-Time Emb Sys Concp Pract,"Siewert, Samuel Burk",OTH,LEC,Graduate,9,2,22.2%,3.0,4.0,3.5,3.5,3.0,3.0,3.0,3.5,2.5,3.5,2.5,3.0,2.0,3.0,2.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5315,200,Real-Time Emb Sys Concp Pract,"Siewert, Samuel Burk",OTH,LEC,Graduate,6,2,33.3%,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,3.0,4.5,4.5,4.0,4.0,4.5,4.0,4.5
Fall,2020,B3,ENGR,ECEN,ECEA,5316,200,Real-Time Emb Sys Theory Asys,"Siewert, Samuel Burk",OTH,LEC,Graduate,6,1,16.7%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5340,100,Sensors and Sensor Circt Dsgn,"Mendelson, Jay",OTH,LEC,Graduate,21,4,19.0%,4.3,3.8,3.8,3.0,3.3,3.3,3.3,3.5,4.7,4.3,3.8,4.0,2.5,3.8,5.0,4.7
Fall,2020,B3,ENGR,ECEN,ECEA,5340,200,Sensors and Sensor Circt Dsgn,"Mendelson, Jay",OTH,LEC,Graduate,20,1,5.0%,,4.0,5.0,,,4.0,5.0,,,5.0,5.0,,,,,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5341,100,Motors and Motor Ctrl Circts,"Mendelson, Jay",OTH,LEC,Graduate,13,1,7.7%,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
